hand_id,bankroll_bb
256673400217,0.0000
256673405138,0.0000
256673410749,0.0000
256673411795,0.0000
256673412747,0.0000
256673415887,0.0000
256673421163,0.0000
256673425823,0.0000
256673431963,0.0000
256673436209,0.0000
256673270513,0.0000
256673276182,0.0000
256673281574,0.0000
256673284455,0.0000
256673442107,0.0000
256673451145,0.0000
256673453384,0.0000
256673456208,0.0000
256673460962,0.0000
256673465207,0.0000
256673477541,0.0000
256673481257,0.0000
256673487896,0.0000
256673492979,0.0000
256673495432,0.0000
256673497003,0.0000
256673500372,0.0000
256673502248,0.0000
256673504543,0.0000
256673508206,0.0000
256673512375,0.0000
256673514792,0.0000
256673519479,0.0000
256673520663,0.0000
256673526047,0.0000
256673531300,0.0000
256673537718,0.0000
256673544228,0.0000
256673616914,0.0000
256673620290,0.0000
256673621628,0.0000
256673623294,0.0000
256673627117,0.0000
256673629911,0.0000
256673635319,0.0000
256673639685,0.0000
256673646239,0.0000
256673648075,0.0000
256673649564,0.0000
256673655158,0.0000
256673657077,0.0000
256673661429,0.0000
256673666117,0.0000
256673672449,0.0000
256673675643,0.0000
256673678230,0.0000
256673683413,0.0000
256673685958,0.0000
256673693532,0.0000
256673700000,0.0000
256673704428,0.0000
256673706517,0.0000
256673709086,0.0000
256673711959,0.0000
256673715681,0.0000
256673719922,0.0000
256673722693,0.0000
256673731009,0.0000
256673735341,0.0000
256673739767,0.0000
256673742928,0.0000
256673810140,0.0000
256673815677,0.0000
256673818815,0.0000
256673828154,0.0000
256673834438,0.0000
256673838124,0.0000
256673842396,0.0000
256673844834,0.0000
256673854593,0.0000
256673856302,0.0000
256673858267,0.0000
256673861473,0.0000
256673871879,0.0000
256673877119,0.0000
256673879496,0.0000
256673883942,0.0000
256673889013,0.0000
256673894369,0.0000
256673898235,0.0000
256673907259,0.0000
256673910885,0.0000
256673912222,0.0000
256673915696,0.0000
256673919017,0.0000
256673926207,0.0000
256673929712,0.0000
256673933004,0.0000
256673935999,0.0000
256673939750,0.0000
256673941655,0.0000
256673944189,0.0000
256673947580,0.0000
256673954075,0.0000
256673955941,0.0000
256673957364,0.0000
256673960101,0.0000
256673963534,0.0000
256673965980,0.0000
256673967845,0.0000
256673972023,0.0000
256673979253,0.0000
256673982041,0.0000
256673991940,0.0000
256673997147,0.0000
256673998726,0.0000
256674000318,0.0000
256674004114,0.0000
256674007066,0.0000
256674015863,0.0000
256674017717,0.0000
256674021959,0.0000
256674026557,0.0000
256674028714,0.0000
256674030256,0.0000
256674044512,0.0000
256674139254,0.0000
256674143138,0.0000
256674146970,0.0000
256674156891,0.0000
256674158931,0.0000
256674161561,0.0000
256674164362,0.0000
256674167924,0.0000
256674172105,0.0000
256674173976,0.0000
256674175167,0.0000
256674181137,0.0000
256674183272,0.0000
256674185204,0.0000
256674186179,0.0000
256674188097,0.0000
256674189913,0.0000
256674197106,0.0000
256674198739,0.0000
256674205695,0.0000
256674207766,0.0000
256674211880,0.0000
256674213860,0.0000
256674219466,0.0000
256674220320,0.0000
256674221782,0.0000
256674223308,0.0000
256674229324,0.0000
256674232412,0.0000
256674238052,0.0000
256674247884,0.0000
256674254126,0.0000
256674261068,0.0000
256674266319,0.0000
256674271604,0.0000
256674276509,0.0000
256674284470,0.0000
256674289430,0.0000
256674293881,0.0000
256674298930,0.0000
256674303743,0.0000
256674309878,0.0000
256674311201,0.0000
256674315285,0.0000
256674317417,0.0000
256674321140,0.0000
256674329397,0.0000
256674334495,0.0000
256674339289,0.0000
256674340557,0.0000
256674346440,0.0000
256674349238,0.0000
256674355482,0.0000
256674356920,0.0000
256674363011,0.0000
256674365144,0.0000
256674367597,0.0000
256674377850,0.0000
256674386965,0.0000
256674468154,0.0000
256674473577,0.0000
256674474726,0.0000
256674477611,0.0000
256674490331,0.0000
256674493748,0.0000
256674501525,0.0000
256674507303,0.0000
256674509304,0.0000
256674518122,0.0000
256674522741,0.0000
256674525591,0.0000
256674530458,0.0000
256674531909,0.0000
256674537218,0.0000
256674544730,0.0000
256674547653,0.0000
256674554184,0.0000
256674558076,0.0000
256674567955,0.0000
256674574372,0.0000
256674579591,0.0000
256674584793,0.0000
256674586616,0.0000
256674592718,0.0000
256674603978,0.0000
256674609174,0.0000
256674612434,0.0000
256674618175,0.0000
256674621347,0.0000
256674626695,0.0000
256674633155,0.0000
256674637684,0.0000
256674640926,0.0000
256674642193,0.0000
256674652893,0.0000
256674656123,0.0000
256674661424,0.0000
256674662819,0.0000
256674667353,0.0000
256674672659,0.0000
256674676244,0.0000
256674680301,0.0000
256674683085,0.0000
256674685724,0.0000
256674687146,0.0000
256674693586,0.0000
